year,month,day,color,discharge,T,precip
1944,1,1,31,5440,41,0
1944,1,2,30,5340,41,0
1944,1,3,28,5240,41,0
1944,1,4,27,5610,32,0
1944,1,5,25,5370,24,0.01
1944,1,6,24,5350,19,0
1944,1,7,30,5720,8,0
1944,1,8,31,5390,18,0
1944,1,9,32,5270,32,0
1944,1,10,32,5380,24,0
1944,1,11,33,5280,13,0
1944,1,12,31,4930,13,0
1944,1,13,33,5120,35,0
1944,1,14,31,5230,49,0
1944,1,15,34,5320,35,0
1944,1,16,34,5170,37,0
1944,1,17,32,4970,40,0
1944,1,18,34,4960,43,0
1944,1,19,33,4670,36,0
1944,1,20,35,4820,48,0
1944,1,21,30,4870,41,0
1944,1,22,34,4970,40,0
1944,1,23,33,5130,43,0
1944,1,24,30,4700,42,0
1944,1,25,30,4770,58,0
1944,1,26,29,5070,42,0
1944,1,27,30,5580,38,0.22
1944,1,28,28,5720,37,0.01
1944,1,29,28,5580,38,0
1944,1,30,27,5990,34,0
1944,1,31,28,5790,30,0
1944,2,1,29,5950,32,0
1944,2,2,28,6060,45,0
1944,2,3,28,5800,38,0
1944,2,4,29,6110,45,0
1944,2,5,28,5970,34,0.21
1944,2,6,28,6000,29,0.05
1944,2,7,30,5680,25,0
1944,2,8,30,5470,32,0
1944,2,9,32,5370,17,0
1944,2,10,30,5680,12,0.05
1944,2,11,30,5160,3,0
1944,2,12,28,5160,10,0
1944,2,13,27,5380,29,0
1944,2,14,30,5270,27,0.03
1944,2,15,28,5630,15,0
1944,2,16,28,4860,28,0
1944,2,17,27,4860,20,0
1944,2,18,25,4910,19,0
1944,2,19,26,4980,33,0
1944,2,20,25,4780,37,0
1944,2,21,25,4820,44,0
1944,2,22,25,4880,35,0.02
1944,2,23,22,4860,35,0
1944,2,24,22,4750,44,0
1944,2,25,22,4750,45,0.63
1944,2,26,25,5650,35,0.11
1944,2,27,30,5950,34,0
1944,2,28,31,5960,30,0
1944,2,29,33,5830,33,0
1944,3,1,33,6090,34,0
1944,3,2,48,6200,37,0
1944,3,3,46,6110,35,0
1944,3,4,45,6130,31,0
1944,3,5,40,5810,37,0.15
1944,3,6,40,5900,29,0.17
1944,3,7,40,5300,17,0
1944,3,8,40,4560,17,0
1944,3,9,40,4970,20,0
1944,3,10,38,5170,42,0
1944,3,11,36,5120,42,0.19
1944,3,12,30,4800,21,0
1944,3,13,28,4770,26,0.02
1944,3,14,30,4930,33,0.06
1944,3,15,26,4870,35,0.08
1944,3,16,23,4860,31,0.1
1944,3,17,23,4860,29,0
1944,3,18,23,4830,20,0
1944,3,19,22,4900,33,0
1944,3,20,24,4540,38,0
1944,3,21,20,4200,45,0
1944,3,22,24,4180,34,0.02
1944,3,23,25,4480,48,0
1944,3,24,22,4670,42,0
1944,3,25,25,5050,28,0
1944,3,26,25,5550,33,0.1
1944,3,27,31,5550,39,0.12
1944,3,28,33,5670,33,0.02
1944,3,29,34,5670,29,0.09
1944,3,30,32,5550,31,0
1944,3,31,34,5670,34,0.08
1944,4,1,37,5550,31,0
1944,4,2,38,5550,32,0
1944,4,3,35,5430,34,0
1944,4,4,37,5200,37,0
1944,4,5,36,5550,48,0
1944,4,6,34,5790,63,0
1944,4,7,35,6650,67,0
1944,4,8,36,8270,60,0.04
1944,4,9,37,12300,49,0
1944,4,10,40,13300,51,0
1944,4,11,40,14300,51,0
1944,4,12,50,15000,59,0
1944,4,13,55,15300,62,0.24
1944,4,14,55,14600,43,0.5
1944,4,15,55,15000,38,0.01
1944,4,16,65,14600,50,0
1944,4,17,55,12600,56,0
1944,4,18,60,12900,62,0
1944,4,19,55,12000,58,0
1944,4,20,55,11600,49,0.18
1944,4,21,55,11600,50,0
1944,4,22,44,12000,47,0.06
1944,4,23,46,11000,46,0.31
1944,4,24,45,11300,41,0.22
1944,4,25,44,11600,46,0.01
1944,4,26,45,12600,57,0
1944,4,27,44,13600,69,0
1944,4,28,50,12900,68,0
1944,4,29,50,12600,70,0
1944,4,30,50,12600,62,0.67
1944,5,1,50,12900,70,0
1944,5,2,46,12300,61,1.49
1944,5,3,50,13900,59,1.64
1944,5,4,50,18500,36,0
1944,5,5,65,21500,39,0
1944,5,6,65,22600,46,0
1944,5,7,65,23700,63,0
1944,5,8,75,26100,61,0
1944,5,9,85,27300,64,0
1944,5,10,80,28100,66,1.24
1944,5,11,85,26900,79,0.12
1944,5,12,80,26100,74,0.15
1944,5,13,80,25700,75,0
1944,5,14,85,25300,86,0
1944,5,15,85,24100,85,0
1944,5,16,85,24500,87,0
1944,5,17,85,24100,73,0.14
1944,5,18,85,24900,64,0.45
1944,5,19,90,25300,62,0.01
1944,5,20,90,25700,74,0
1944,5,21,90,25700,72,0.25
1944,5,22,95,24500,81,0
1944,5,23,95,24100,84,0
1944,5,24,100,22600,82,0.01
1944,5,25,100,22200,83,0
1944,5,26,95,20700,78,0
1944,5,27,95,21100,82,0
1944,5,28,95,19600,86,0
1944,5,29,100,18500,89,0
1944,5,30,100,17100,88,0.6
1944,5,31,90,16700,88,0.05
1944,6,1,90,17100,88,2.16
1944,6,2,80,15600,87,0
1944,6,3,85,15600,86,0.31
1944,6,4,90,17400,82,0.82
1944,6,5,90,23000,67,0
1944,6,6,100,30500,65,0.01
1944,6,7,100,30900,72,0
1944,6,8,110,30100,70,0.23
1944,6,9,110,30900,70,0.07
1944,6,10,120,30900,72,0
1944,6,11,150,30900,67,0.14
1944,6,12,140,30100,81,0.27
1944,6,13,150,31700,74,1.65
1944,6,14,150,33800,88,0
1944,6,15,140,36800,85,0.05
1944,6,16,135,37200,82,0.03
1944,6,17,140,37200,85,0.48
1944,6,18,130,38500,72,0
1944,6,19,140,38500,71,0
1944,6,20,135,38500,77,0
1944,6,21,140,37200,88,0
1944,6,22,140,34700,85,0.44
1944,6,23,140,32600,75,0
1944,6,24,140,30900,86,0
1944,6,25,140,29300,96,0
1944,6,26,140,27300,95,0.01
1944,6,27,130,26900,91,0.02
1944,6,28,135,26100,74,0
1944,6,29,140,24500,75,0
1944,6,30,140,23700,83,0
1944,7,1,135,22200,82,2
1944,7,2,130,24900,82,0.63
1944,7,3,130,23700,84,0
1944,7,4,140,24900,89,0
1944,7,5,150,26100,86,0.01
1944,7,6,140,26500,80,0.33
1944,7,7,130,26900,86,0
1944,7,8,130,26500,76,0
1944,7,9,140,26500,79,0
1944,7,10,140,25700,79,0.04
1944,7,11,130,25300,74,0.08
1944,7,12,130,24900,77,0
1944,7,13,140,23700,85,0
1944,7,14,140,23400,77,0.55
1944,7,15,135,23000,79,0
1944,7,16,130,22600,85,0
1944,7,17,125,22200,78,0.37
1944,7,18,130,21500,82,0
1944,7,19,130,20000,72,0
1944,7,20,135,19200,72,0
1944,7,21,130,18500,82,0
1944,7,22,120,17800,85,0.25
1944,7,23,120,17400,81,0
1944,7,24,120,16000,86,0
1944,7,25,120,16400,85,0
1944,7,26,120,12600,82,0.13
1944,7,27,115,12600,79,0
1944,7,28,130,12600,72,0
1944,7,29,115,11600,78,0
1944,7,30,110,11000,85,0
1944,7,31,100,10700,85,0
1944,8,1,100,11300,93,0
1944,8,2,120,10400,92,0
1944,8,3,110,10400,94,0.09
1944,8,4,110,8850,84,0.19
1944,8,5,110,10100,82,0
1944,8,6,110,10400,85,0
1944,8,7,110,10100,86,0
1944,8,8,100,10700,90,0
1944,8,9,100,12900,94,0
1944,8,10,100,15600,94,0
1944,8,11,100,15600,83,0
1944,8,12,100,17800,89,0
1944,8,13,100,18100,90,0
1944,8,14,100,18100,88,0
1944,8,15,110,17800,79,0.23
1944,8,16,130,16700,76,0.02
1944,8,17,120,16000,75,0
1944,8,18,130,15300,81,0
1944,8,19,140,15000,85,0.01
1944,8,20,130,15000,81,0
1944,8,21,130,15000,84,0
1944,8,22,120,13600,78,0.1
1944,8,23,110,13600,73,0.2
1944,8,24,110,12600,79,0
1944,8,25,110,12000,80,0
1944,8,26,100,11300,68,0
1944,8,27,100,10700,63,0.74
1944,8,28,95,10400,75,0
1944,8,29,85,8850,79,0
1944,8,30,85,8560,69,1.98
1944,8,31,75,8270,56,0.09
