"","year","month","day","color","discharge","T","precip","colorma","flowma","colordetrend","flowdetrend","flowRes","baseflow"
"1",1944,1,1,31,5440,41,0,31,5440,0,0,NA,3525.04461596178
"2",1944,1,2,30,5340,41,0,30.5,5390,-0.5,-50,NA,3620.36181979778
"3",1944,1,3,28,5240,41,0,29.6666666666667,5340,-1.66666666666667,-100,-72.8626984214884,3711.59056709361
"4",1944,1,4,27,5610,32,0,29,5407.5,-2,202.5,396.142944125993,3798.90640455869
"5",1944,1,5,25,5370,24,0.01,27.5,5390,-2.5,-20,-505.390397678647,3882.94560696411
"6",1944,1,6,24,5350,19,0,26,5392.5,-2,-42.5,95.3712365016158,3963.52570548308
"7",1944,1,7,30,5720,8,0,26.5,5512.5,3.5,207.5,346.987807216707,4040.81940768502
"8",1944,1,8,31,5390,18,0,27.5,5457.5,3.5,-67.5,-594.296604480876,4115.41484746334
"9",1944,1,9,32,5270,32,0,29.25,5432.5,2.75,-162.5,52.100154362558,4186.04219951869
"10",1944,1,10,32,5380,24,0,31.25,5440,0.75,-60,149.003483888513,4251.39869427476
"11",1944,1,11,33,5280,13,0,32,5330,1,-50,-204.368396971505,4311.62734597287
"12",1944,1,12,31,4930,13,0,32,5215,-1,-285,-323.459312893,4362.60008808976
"13",1944,1,13,33,5120,35,0,32.25,5177.5,0.75,-57.5,370.088342607738,4409.95846033909
"14",1944,1,14,31,5230,49,0,32,5140,-1,90,-47.2026564551088,4458.41641823314
"15",1944,1,15,34,5320,35,0,32.25,5150,1.75,170,-15.8599331502819,4502.89721266744
"16",1944,1,16,34,5170,37,0,33,5210,1,-40,-242.402778916251,4543.61201653136
"17",1944,1,17,32,4970,40,0,32.75,5172.5,-0.75,-202.5,-143.147524773859,4578.3126478671
"18",1944,1,18,34,4960,43,0,33.5,5105,0.5,-145,76.2693416380148,4607.31419927707
"19",1944,1,19,33,4670,36,0,33.25,4942.5,-0.25,-272.5,-323.171303111497,4622.89063433129
"20",1944,1,20,35,4820,48,0,33.5,4855,1.5,-35,289.816315650899,4632.04883675644
"21",1944,1,21,30,4870,41,0,33,4830,-3,40,-85.0612637591353,4648.02017399971
"22",1944,1,22,34,4970,40,0,33,4832.5,1,137.5,28.2470776009445,4668.41866094973
"23",1944,1,23,33,5130,43,0,33,4947.5,0,182.5,57.835853736553,4693.70100467592
"24",1944,1,24,30,4700,42,0,31.75,4917.5,-1.75,-217.5,-568.25987191971,4700
"25",1944,1,25,30,4770,58,0,31.75,4892.5,-1.75,-122.5,298.050250574003,4709.06500967594
"26",1944,1,26,29,5070,42,0,30.5,4917.5,-1.5,152.5,214.690487621662,4722.3590152275
"27",1944,1,27,30,5580,38,0.22,29.75,5030,0.25,550,283.207885921429,4744.28649804414
"28",1944,1,28,28,5720,37,0.01,29.25,5285,-1.25,435,-213.624332601751,4767.22877647764
"29",1944,1,29,28,5580,38,0,28.75,5487.5,-0.75,92.5,-259.830930423089,4791.82435159461
"30",1944,1,30,27,5990,34,0,28.25,5717.5,-1.25,272.5,464.648224518083,4818.07586607635
"31",1944,1,31,28,5790,30,0,27.75,5770,0.25,20,-486.736304412605,4846.27157890811
"32",1944,2,1,29,5950,32,0,28,5827.5,1,122.5,254.423072748664,4876.21125806843
"33",1944,2,2,28,6060,45,0,28,5947.5,0,112.5,-20.1061408090611,4906.2297889484
"34",1944,2,3,28,5800,38,0,28.25,5900,-0.25,-100,-357.606766294381,4934.30017130379
"35",1944,2,4,29,6110,45,0,28.5,5980,0.5,130,442.209206074209,4959.72140977931
"36",1944,2,5,28,5970,34,0.21,28.25,5985,-0.25,-15,-362.731912835763,4982.37441568074
"37",1944,2,6,28,6000,29,0.05,28.25,5970,-0.25,30,88.5262185829044,5002.1278294273
"38",1944,2,7,30,5680,25,0,28.75,5940,1.25,-260,-367.954450658835,5018.87222580513
"39",1944,2,8,30,5470,32,0,29,5780,1,-310,-41.2973252885217,5032.65718859198
"40",1944,2,9,32,5370,17,0,30,5630,2,-260,-2.47775483601254,5043.84972452286
"41",1944,2,10,30,5680,12,0.05,30.5,5550,-0.5,130,337.435608814267,5052.67639531499
"42",1944,2,11,30,5160,3,0,30.5,5420,-0.5,-260,-747.007649881592,5059.43166861101
"43",1944,2,12,28,5160,10,0,30,5342.5,-2,-182.5,289.154341226025,5065.02562913099
"44",1944,2,13,27,5380,29,0,28.75,5345,-1.75,35,182.536295530158,5069.70758334163
"45",1944,2,14,30,5270,27,0.03,28.75,5242.5,1.25,27.5,-283.460675868708,5073.00431339691
"46",1944,2,15,28,5630,15,0,28.25,5360,-0.25,270,392.722367625131,5074.64791126492
"47",1944,2,16,28,4860,28,0,28.25,5285,-0.25,-425,-1028.91040992476,4860
"48",1944,2,17,27,4860,20,0,28.25,5155,-1.25,-295,443.199175453022,4860
"49",1944,2,18,25,4910,19,0,27,5065,-2,-155,9.55322317260334,4910
"50",1944,2,19,26,4980,33,0,26.5,4902.5,-0.5,77.5,-1.35517941804801,4980
"51",1944,2,20,25,4780,37,0,25.75,4882.5,-0.75,-102.5,-283.221361728049,4780
"52",1944,2,21,25,4820,44,0,25.25,4872.5,-0.25,-52.5,124.380062478229,4820
"53",1944,2,22,25,4880,35,0.02,25.25,4865,-0.25,15,-5.96898486193277,4880
"54",1944,2,23,22,4860,35,0,24.25,4835,-2.25,25,-97.9346029171852,4860
"55",1944,2,24,22,4750,44,0,23.5,4827.5,-1.5,-77.5,-137.884544300633,4750
"56",1944,2,25,22,4750,45,0.63,22.75,4810,-0.75,-60,27.5517088720358,4750
"57",1944,2,26,25,5650,35,0.11,22.75,5002.5,2.25,647.5,858.459429974833,4952.92809321276
"58",1944,2,27,30,5950,34,0,24.75,5275,5.25,675,-297.891816656889,4969.13811118216
